Input,Ambient,Flow,Radiation
16.7,22.2,0,1.40E+01
16.7,22.2,0,1.40E+01
16.7,22.3,0,1.40E+01
16.7,22.3,0,1.40E+01
16.7,22.3,0,1.40E+01
16.7,22.3,0,1.40E+01
16.7,22.3,0,1.40E+01
16.7,22.3,0,1.40E+01
16.7,22.4,0,1.40E+01
16.7,22.4,0,1.40E+01
16.7,22.4,0,1.40E+01
16.71,22.4,0,1.40E+01
16.72,22.4,0,1.40E+01
16.73,22.4,0,1.40E+01
16.74,22.4,0,1.40E+01
16.75,22.4,0,1.40E+01
16.76,22.4,0,1.40E+01
16.77,22.4,0,1.40E+01
16.78,22.4,0,1.40E+01
16.79,22.4,0,1.40E+01
16.8,22.5,0,1.40E+01
16.81,22.7,0,1.40E+01
16.82,22.7,0,1.40E+01
16.83,22.8,0,1.40E+01
16.84,22.9,0,1.40E+01
16.85,22.9,0,1.40E+01
16.86,22.9,0,1.40E+01
16.87,23,0,1.40E+01
16.88,23,0,1.40E+01
16.89,23.1,0,1.40E+01
16.9,23.2,0,1.40E+01
16.92,23.1,0,1.40E+01
16.94,23.2,0,1.40E+01
16.96,23.3,0,1.40E+01
16.98,23.3,0,1.40E+01
17,23.4,0,1.40E+01
17.02,23.4,0,1.40E+01
17.04,23.4,0,1.40E+01
17.06,23.4,0,1.40E+01
17.08,23.4,0,1.40E+01
17.1,23.5,0,1.40E+01
17.1,23.4,0,1.40E+01
17.1,23.6,0,1.40E+01
17.1,23.6,0,1.40E+01
17.1,23.7,0,1.40E+01
17.1,23.8,0,1.40E+01
17.1,23.9,0,1.40E+01
17.1,24.1,0,1.40E+01
17.1,24.2,0,1.40E+01
17.1,24.3,0,1.40E+01
17.1,24.4,0,1.40E+01
17.12,24.4,3.9,1.40E+01
17.14,24.5,0,1.40E+01
17.16,24.5,0,1.40E+01
17.18,24.7,0,1.40E+01
17.2,24.7,0,1.40E+01
17.22,24.8,0,1.40E+01
17.24,24.9,0,1.40E+01
17.26,24.9,0,1.40E+01
17.28,24.9,0,1.40E+01
17.3,25,0,1.40E+01
17.31,25,0,1.40E+01
17.32,25,0,1.40E+01
17.33,25,0,1.40E+01
17.34,25.1,0,1.40E+01
17.35,25.2,0,1.40E+01
17.36,25.2,0,1.40E+01
17.37,25.3,0,1.40E+01
17.38,25.3,0,1.40E+01
17.39,25.3,0,1.40E+01
17.4,25.4,0,1.40E+01
17.42,25.4,0,1.40E+01
17.44,25.5,0,1.40E+01
17.46,25.5,0,1.40E+01
17.48,25.6,0,1.40E+01
17.5,25.5,0,1.40E+01
17.52,25.6,0,1.40E+01
17.54,25.7,0,1.40E+01
17.56,25.6,0,1.40E+01
17.58,25.7,0,1.40E+01
17.6,25.7,0,1.40E+01
17.63,25.9,8.9,1.40E+01
17.66,26.1,6,1.40E+01
17.69,26.2,0,1.40E+01
17.72,26.3,0,1.40E+01
17.75,26.4,0,1.40E+01
17.78,26.5,0,1.40E+01
17.81,26.5,0,1.40E+01
17.84,26.5,0,1.40E+01
17.87,26.6,0,1.40E+01
17.9,26.7,0,1.40E+01
17.93,26.8,0,1.40E+01
17.96,26.8,0,1.40E+01
17.99,26.9,0,1.40E+01
18.02,26.9,0,1.40E+01
18.05,27,0,1.40E+01
18.08,27,0,1.40E+01
18.11,27,0,1.40E+01
18.14,27.1,0,1.40E+01
18.17,27.1,0,1.40E+01
18.2,27.2,0,1.40E+01
18.22,27.2,0,1.40E+01
18.24,27.3,0,1.40E+01
18.26,27.3,0,1.40E+01
18.28,27.3,0,1.40E+01
18.3,27.5,0,1.40E+01
18.32,27.5,0,1.40E+01
18.34,27.5,0,1.40E+01
18.36,27.5,0,1.40E+01
18.38,27.6,0,1.40E+01
18.4,27.6,0,1.40E+01
18.45,27.6,0,1.40E+01
18.5,27.6,0,1.40E+01
18.55,27.7,0,1.40E+01
18.6,27.7,0,1.40E+01
18.65,27.8,0,1.40E+01
18.7,27.7,0,1.40E+01
18.75,27.8,0,1.40E+01
18.8,27.7,0,1.40E+01
18.85,27.8,0,1.40E+01
18.9,27.8,0,1.40E+01
18.9,27.9,0,1.40E+01
18.9,27.8,0,1.40E+01
18.9,27.9,0,1.40E+01
18.9,27.9,0,1.40E+01
18.9,28,0,1.40E+01
18.9,28,0,1.40E+01
18.9,28,0,1.40E+01
18.9,28.1,0,1.40E+01
18.9,28.1,0,1.40E+01
18.9,28.2,0,1.40E+01
18.95,28.3,0,1.40E+01
19,28.5,0,1.40E+01
19.05,28.6,0,1.40E+01
19.1,28.9,0,1.40E+01
19.15,29.1,0,1.40E+01
19.2,29.3,0,1.40E+01
19.25,29.5,0,1.40E+01
19.3,29.7,0,1.40E+01
19.35,29.8,0,1.40E+01
19.4,30,0,1.40E+01
19.44,30.2,8.9,1.40E+01
19.48,30.5,9.5,1.40E+01
19.52,30.6,6.5,1.40E+01
19.56,30.9,0,1.40E+01
19.6,31.1,0,1.40E+01
19.64,31.3,0,1.40E+01
19.68,31.5,0,1.40E+01
19.72,31.7,0,1.40E+01
19.76,31.8,0,1.40E+01
19.8,31.9,0,1.40E+01
19.83,32,0,1.40E+01
19.86,32,0,1.40E+01
19.89,32.1,0,1.40E+01
19.92,31.9,0,1.40E+01
19.95,31.8,0,1.40E+01
19.98,31.8,0,1.40E+01
20.01,31.7,0,1.40E+01
20.04,31.5,0,1.40E+01
20.07,31.4,0,1.40E+01
20.1,31.2,0,1.40E+01
20.11,31.1,0,1.40E+01
20.12,30.9,0,1.40E+01
20.13,30.7,0,1.40E+01
20.14,30.6,0,1.40E+01
20.15,30.5,0,1.40E+01
20.16,30.4,0,1.40E+01
20.17,30.3,0,1.40E+01
20.18,30.2,0,1.40E+01
20.19,30.1,0,1.40E+01
20.2,30,0,1.40E+01
20.22,29.9,0,1.40E+01
20.24,29.9,0,1.40E+01
20.26,29.9,0,1.40E+01
20.28,30,0,1.40E+01
20.3,29.9,0,1.40E+01
20.32,30,0,1.40E+01
20.34,29.9,0,1.40E+01
20.36,29.9,0,1.40E+01
20.38,29.9,0,1.40E+01
20.4,29.9,0,1.40E+01
20.42,29.9,0,1.40E+01
20.44,29.9,0,1.40E+01
20.46,29.9,0,1.40E+01
20.48,29.9,0,1.40E+01
20.5,30,0,1.40E+01
20.52,30,0,1.40E+01
20.54,30.1,0,1.40E+01
20.56,30.2,0,1.40E+01
20.58,30.3,0,1.40E+01
20.6,30.3,0,1.40E+01
20.64,30.4,0,1.40E+01
20.68,30.3,0,1.40E+01
20.72,30.3,0,1.40E+01
20.76,30.3,0,1.40E+01
20.8,30.2,0,1.40E+01
20.84,30.3,0,1.40E+01
20.88,30.3,0,1.40E+01
20.92,30.3,0,1.40E+01
20.96,30.3,0,1.40E+01
21,30.4,0,1.40E+01
21.02,30.5,8.7,1.40E+01
21.04,30.7,4.3,1.40E+01
21.06,31,0,1.40E+01
21.08,31.3,0,1.40E+01
21.1,31.5,0,1.40E+01
21.12,31.7,0,1.40E+01
21.14,32,0,1.40E+01
21.16,32.2,0,1.40E+01
21.18,32.3,0,1.40E+01
21.2,32.4,0,1.40E+01
21.24,32.5,0,1.40E+01
21.28,32.6,0,1.40E+01
21.32,32.7,0,1.40E+01
21.36,32.8,0,1.40E+01
21.4,33,0,1.40E+01
21.44,33.1,0,1.40E+01
21.48,33.3,0,1.40E+01
21.52,33.4,0,1.40E+01
21.56,33.4,0,1.40E+01
21.6,33.4,0,1.40E+01
21.6,33.3,0,1.40E+01
21.6,33.2,0,1.40E+01
21.6,33.1,0,1.40E+01
21.6,33,0,1.40E+01
21.6,32.8,0,1.40E+01
21.6,32.6,0,1.40E+01
21.6,32.5,0,1.40E+01
21.6,32.3,0,1.40E+01
21.6,32.1,0,1.40E+01
21.6,31.9,0,1.40E+01
21.62,31.7,0,1.40E+01
21.64,31.6,0,1.40E+01
21.66,31.4,0,1.40E+01
21.68,31.3,0,1.40E+01
21.7,31.1,0,1.40E+01
21.72,31.1,0,1.40E+01
21.74,31.1,0,1.40E+01
21.76,31.2,0,1.40E+01
21.78,31.2,0,1.40E+01
21.8,31.4,0,1.40E+01
21.86,31.6,0,1.40E+01
21.92,31.7,0,1.40E+01
21.98,31.9,0,1.40E+01
22.04,32.1,0,1.40E+01
22.1,32.3,0,1.40E+01
22.16,32.5,0,1.40E+01
22.22,32.7,0,1.40E+01
22.28,32.9,0,1.40E+01
22.34,33,0,1.40E+01
22.4,33.1,0,1.40E+01
22.45,33.2,0,1.40E+01
22.5,33.1,0,1.40E+01
22.55,33.1,0,1.40E+01
22.6,33.1,0,1.40E+01
22.65,32.9,0,1.40E+01
22.7,32.8,0,1.40E+01
22.75,32.8,0,1.40E+01
22.8,32.8,0,1.40E+01
