Input,Ambient,Flow,Radiation
15.7,20.9,0,4.48E-03
15.7,20.8,0,4.54E-03
15.7,20.8,0,4.60E-03
15.7,20.9,0,4.67E-03
15.7,20.9,0,4.73E-03
15.7,20.9,0,4.79E-03
15.7,20.9,0,4.86E-03
15.7,20.8,0,4.92E-03
15.7,20.8,0,4.99E-03
15.7,20.8,0,5.05E-03
15.7,20.9,0,5.12E-03
15.7,20.9,0,5.19E-03
15.7,20.9,0,5.26E-03
15.7,20.9,0,5.33E-03
15.7,20.9,0,5.40E-03
15.7,20.9,0,5.47E-03
15.7,20.9,0,5.54E-03
15.7,20.8,0,5.61E-03
15.7,20.9,0,5.69E-03
15.7,20.8,0,5.76E-03
15.7,20.9,0,5.83E-03
15.7,20.9,0,5.91E-03
15.7,20.8,0,5.98E-03
15.7,20.9,0,6.06E-03
15.7,20.8,0,6.14E-03
15.7,20.8,0,6.22E-03
15.7,20.9,0,6.30E-03
15.71,20.8,0,6.38E-03
15.72,20.8,0,6.46E-03
15.73,20.9,0,6.54E-03
15.74,20.8,0,6.62E-03
15.75,20.8,0,6.70E-03
15.76,20.9,0,6.79E-03
15.77,20.8,0,6.87E-03
15.78,20.9,0,6.96E-03
15.79,20.8,0,7.04E-03
15.8,20.9,0,7.13E-03
15.79,20.9,0,7.22E-03
15.78,20.8,0,7.31E-03
15.77,20.8,0,7.40E-03
15.76,20.8,0,7.49E-03
15.75,20.8,0,7.58E-03
15.74,20.7,0,7.67E-03
15.73,20.8,0,7.77E-03
15.72,20.7,0,7.86E-03
15.71,20.7,0,7.95E-03
15.7,20.7,0,8.05E-03
15.71,20.7,0,8.15E-03
15.72,20.7,0,8.24E-03
15.73,20.7,0,8.34E-03
15.74,20.7,0,8.44E-03
15.75,20.7,0,8.54E-03
15.76,20.7,0,8.64E-03
15.77,20.7,0,8.74E-03
15.78,20.8,0,8.85E-03
15.79,20.7,0,8.95E-03
15.8,20.7,0,9.06E-03
15.8,20.8,0,9.16E-03
15.8,20.8,0,9.27E-03
15.8,20.8,0,9.37E-03
15.8,20.8,0,9.48E-03
15.8,20.8,0,9.59E-03
15.8,20.8,0,9.70E-03
15.8,20.9,0,9.81E-03
15.8,21,0,9.92E-03
15.8,21,0,1.00E-02
15.8,21,0,1.02E-02
15.83,21.1,0,1.03E-02
15.86,21.1,0,1.04E-02
15.89,21.2,0,1.05E-02
15.92,21.2,0,1.06E-02
15.95,21.2,0,1.07E-02
15.98,21.2,0,1.09E-02
16.01,21.3,0,1.10E-02
16.04,21.3,0,1.11E-02
16.07,21.4,0,1.12E-02
16.1,21.4,0,1.13E-02
16.12,21.5,0,1.15E-02
16.14,21.6,0,1.16E-02
16.16,21.6,0,1.17E-02
16.18,21.8,0,1.18E-02
16.2,21.9,0,1.20E-02
16.22,22.1,0,1.21E-02
16.24,22.2,0,1.22E-02
16.26,22.4,0,1.24E-02
16.28,22.5,0,1.25E-02
16.3,22.6,0,1.26E-02
16.31,22.7,0,1.28E-02
16.32,22.8,0,1.29E-02
16.33,22.9,0,1.30E-02
16.34,22.9,0,1.32E-02
16.35,22.9,0,1.33E-02
16.36,23,0,1.34E-02
16.37,23.1,0,1.36E-02
16.38,23.1,0,1.37E-02
16.39,23.2,0,1.39E-02
16.4,23.2,0,1.40E-02
16.4,23.2,0,1.41E-02
16.4,23.3,0,1.43E-02
16.4,23.3,0,1.44E-02
16.4,23.4,0,1.46E-02
16.4,23.4,0,1.47E-02
16.4,23.4,0,1.49E-02
16.4,23.4,0,1.50E-02
16.4,23.4,0,1.52E-02
16.4,23.4,0,1.53E-02
16.4,23.4,0,1.55E-02
16.42,23.4,0,1.56E-02
16.44,23.4,0,1.58E-02
16.46,23.4,0,1.59E-02
16.48,23.4,0,1.61E-02
16.5,23.4,0,1.63E-02
16.52,23.4,0,1.64E-02
16.54,23.4,0,1.66E-02
16.56,23.4,0,1.67E-02
16.58,23.4,0,1.69E-02
16.6,23.4,0,1.71E-02
16.61,23.5,0,1.72E-02
16.62,23.5,0,1.74E-02
16.63,23.5,0,1.75E-02
16.64,23.5,0,1.77E-02
16.65,23.6,0,1.79E-02
16.66,23.7,10.7,1.80E-02
16.67,23.9,3.1,1.82E-02
16.68,24.1,0,1.84E-02
16.69,24.2,0,1.86E-02
16.7,24.4,0,1.87E-02
16.74,24.5,0,1.89E-02
16.78,24.7,0,1.91E-02
16.82,24.8,0,1.92E-02
16.86,24.8,0,1.94E-02
16.9,25,0,1.96E-02
16.94,25.1,0,1.98E-02
16.98,25.1,0,2.00E-02
17.02,25.2,0,2.01E-02
17.06,25.4,0,2.03E-02
17.1,25.5,0,2.05E-02
17.09,25.5,0.1,2.07E-02
17.08,25.6,0,2.09E-02
17.07,25.7,0,2.10E-02
17.06,25.9,0,2.12E-02
17.05,26,0,2.14E-02
17.04,26.1,0,2.16E-02
17.03,26.2,0,2.18E-02
17.02,26.4,0,2.20E-02
17.01,26.5,0,2.22E-02
17,26.6,0,2.23E-02
17.09,26.9,0,2.25E-02
17.18,27,0,2.27E-02
17.27,27.3,0,2.29E-02
17.36,27.4,0,2.31E-02
17.45,27.5,0,2.33E-02
17.54,27.7,10.7,2.35E-02
17.63,27.9,6.2,2.37E-02
17.72,28,0,2.39E-02
17.81,28.1,0,2.41E-02
17.9,28.3,0,2.43E-02
17.98,28.3,0,2.45E-02
18.06,28.4,0,2.47E-02
18.14,28.5,0,2.49E-02
18.22,28.4,0,2.51E-02
18.3,28.5,0,2.53E-02
18.38,28.4,0.1,2.55E-02
18.46,28.4,0,2.57E-02
18.54,28.4,0,2.59E-02
18.62,28.4,0,2.61E-02
18.7,28.3,0,2.63E-02
18.77,28.3,0,2.65E-02
18.84,28.3,0,2.67E-02
18.91,28.2,0,2.69E-02
18.98,28.2,0,2.71E-02
19.05,28.2,0,2.73E-02
19.12,28.2,0,2.75E-02
19.19,28.3,0,2.77E-02
19.26,28.3,0,2.79E-02
19.33,28.4,0,2.82E-02
19.4,28.5,0,2.84E-02
19.42,28.8,0.1,2.86E-02
19.44,28.9,0,2.88E-02
19.46,29,0,2.90E-02
19.48,29.1,0,2.92E-02
19.5,29.2,0,2.94E-02
19.52,29.3,10.7,2.96E-02
19.54,29.3,8,2.99E-02
19.56,29.4,0,3.01E-02
19.58,29.5,0,3.03E-02
19.6,29.5,0,3.05E-02
19.61,29.5,0.1,3.07E-02
19.62,29.6,0,3.09E-02
19.63,29.7,0,3.12E-02
19.64,29.8,0,3.14E-02
19.65,29.8,0,3.16E-02
19.66,29.8,0,3.18E-02
19.67,29.8,0,3.20E-02
19.68,29.9,0,3.23E-02
19.69,29.9,0,3.25E-02
19.7,30,0,3.27E-02
19.71,30,0,3.29E-02
19.72,30,0,3.31E-02
19.73,30.1,0,3.34E-02
19.74,30.1,0,3.36E-02
19.75,30.2,0,3.38E-02
19.76,30.3,0.1,3.40E-02
19.77,30.4,0,3.42E-02
19.78,30.6,0,3.45E-02
19.79,30.6,0,3.47E-02
19.8,30.7,0,3.49E-02
19.84,30.8,0,3.51E-02
19.88,30.8,0,3.54E-02
19.92,30.8,0,3.56E-02
19.96,30.9,0,3.58E-02
20,30.9,0,3.60E-02
20.04,30.9,7.9,3.63E-02
20.08,31,0,3.65E-02
20.12,31,0,3.67E-02
20.16,31,0,3.69E-02
20.2,31.1,0,3.72E-02
20.25,31,0,3.74E-02
20.3,31.1,0,3.76E-02
20.35,31.1,0,3.78E-02
20.4,31.1,0,3.81E-02
20.45,31.1,0,3.83E-02
20.5,31.1,0.1,3.85E-02
20.55,31.2,0,3.87E-02
20.6,31.3,0,3.90E-02
20.65,31.3,0,3.92E-02
20.7,31.3,0,3.94E-02
20.77,31.4,0,3.96E-02
20.84,31.5,0,3.99E-02
20.91,31.6,0,4.01E-02
20.98,31.6,0,4.03E-02
21.05,31.7,0,4.05E-02
21.12,31.8,0,4.08E-02
21.19,32,0,4.10E-02
21.26,32.1,0,4.12E-02
21.33,32.2,0,4.14E-02
21.4,32.4,0,4.17E-02
21.49,32.4,0,4.19E-02
21.58,32.6,0,4.21E-02
21.67,32.7,0,4.23E-02
21.76,32.9,0,4.25E-02
21.85,33.1,0,4.28E-02
21.94,33.1,0,4.30E-02
22.03,33.2,0,4.32E-02
